employee_id,first_name,last_name,gender,age,email,phone,department_id,job_title,hire_date,employment_type,performance_rating
1001,Vikas,Singh,Male,53,user0@company.com,7195768845,9,Manager,10-04-2018,Part-time,4.78
1002,Amit,Mehta,Male,21,user1@company.com,9257568092,4,Consultant,03-09-2021,Full-time,3.97
1003,Anjali,Gupta,Male,33,user2@company.com,8479676409,3,Director,25-02-2018,Part-time,2.25
1004,Neha,Gupta,Male,47,user3@company.com,7391918210,3,Engineer,09-01-2016,Full-time,2.18
1005,Rohit,Singh,Female,26,user4@company.com,7376967405,10,Manager,15-10-2016,Contract,4.58
1006,Amit,Reddy,Female,26,user5@company.com,8874531607,2,Consultant,22-06-2017,Full-time,1.71
1007,Anjali,Gupta,Male,53,user6@company.com,9058475072,10,Engineer,13-01-2017,Part-time,3.14
1008,Rahul,Reddy,Male,50,user7@company.com,9498774447,3,Director,06-10-2021,Part-time,3.85
1009,Arjun,Reddy,Female,55,user8@company.com,9242288908,8,Manager,02-05-2017,Part-time,2.59
1010,Sneha,Nair,Male,43,user9@company.com,9434813667,8,Consultant,06-11-2019,Contract,1.16
1011,Rohit,Reddy,Male,30,user10@company.com,8421241544,2,Engineer,10-04-2017,Full-time,1.91
1012,Rahul,Sharma,Male,39,user11@company.com,7843668621,2,Manager,11-04-2019,Contract,4.61
1013,Vikas,Nair,Male,48,user12@company.com,9329786979,2,Director,30-08-2017,Full-time,3.09
1014,Rahul,Mehta,Female,43,user13@company.com,9812393097,10,Consultant,30-04-2022,Contract,4.26
1015,Arjun,Mehta,Male,24,user14@company.com,9941427606,7,Manager,02-03-2022,Contract,3.22
1016,Vikas,Gupta,Female,40,user15@company.com,7884837986,6,Director,17-07-2018,Part-time,4.77
1017,Rohit,Gupta,Male,39,user16@company.com,9812479294,1,Director,14-09-2018,Contract,4.64
1018,Arjun,Reddy,Male,47,user17@company.com,7630487878,2,Engineer,11-08-2018,Contract,2.93
1019,Priya,Nair,Female,54,user18@company.com,7186387369,1,Director,02-05-2015,Full-time,2.27
1020,Sneha,Nair,Male,24,user19@company.com,9973561186,7,Director,08-06-2015,Contract,3.41
1021,Rohit,Sharma,Female,58,user20@company.com,7285256257,6,Analyst,03-11-2015,Part-time,3.7
1022,Priya,Reddy,Male,27,user21@company.com,9370084168,2,Director,17-01-2018,Contract,2.99
1023,Anjali,Sharma,Male,27,user22@company.com,9154201646,2,Consultant,20-01-2017,Full-time,4.29
1024,Rohit,Iyer,Male,46,user23@company.com,7450710352,2,Manager,27-11-2017,Full-time,1.73
1025,Anjali,Reddy,Male,46,user24@company.com,8553917821,8,Consultant,11-03-2020,Contract,2.34
1026,Vikas,Verma,Male,39,user25@company.com,7095978726,7,Consultant,13-08-2016,Contract,3.75
1027,Priya,Verma,Female,29,user26@company.com,7733363507,1,Engineer,24-02-2020,Full-time,1.99
1028,Sneha,Singh,Female,40,user27@company.com,7736642705,4,Analyst,12-12-2015,Part-time,2.76
1029,Arjun,Reddy,Male,36,user28@company.com,9426008721,4,Analyst,29-05-2015,Contract,4.85
1030,Kavya,Nair,Male,37,user29@company.com,8693275287,7,Consultant,05-11-2017,Part-time,3.5
1031,Rahul,Gupta,Female,42,user30@company.com,7869638806,2,Manager,22-10-2018,Part-time,4.8
1032,Amit,Mehta,Female,33,user31@company.com,9870152445,4,Analyst,22-11-2022,Contract,3.89
1033,Sneha,Singh,Male,32,user32@company.com,8617655871,1,Analyst,19-02-2017,Part-time,3.9
1034,Priya,Gupta,Male,30,user33@company.com,7783729881,4,Consultant,28-04-2015,Full-time,3.37
1035,Kavya,Verma,Female,21,user34@company.com,9464943175,1,Analyst,04-12-2016,Part-time,1.57
1036,Sneha,Reddy,Male,52,user35@company.com,9634779613,2,Engineer,22-06-2021,Full-time,3.08
1037,Priya,Singh,Female,50,user36@company.com,7116711585,2,Consultant,15-10-2015,Contract,2.01
1038,Neha,Reddy,Male,28,user37@company.com,8769353345,10,Analyst,03-02-2023,Part-time,4.99
1039,Neha,Verma,Female,41,user38@company.com,8130527300,3,Analyst,06-10-2018,Full-time,2.07
1040,Anjali,Singh,Female,42,user39@company.com,9808047518,8,Analyst,02-06-2021,Full-time,1.92
1041,Sneha,Verma,Male,38,user40@company.com,9911605315,6,Consultant,17-07-2020,Contract,3.5
1042,Neha,Sharma,Female,22,user41@company.com,8517710294,6,Manager,18-03-2016,Part-time,3.04
1043,Priya,Verma,Male,29,user42@company.com,7018389996,9,Director,19-06-2017,Full-time,1.09
1044,Anjali,Nair,Male,23,user43@company.com,8012908138,8,Analyst,28-10-2015,Full-time,1.52
1045,Priya,Nair,Male,46,user44@company.com,7285575788,2,Director,24-01-2023,Contract,4.24
1046,Anjali,Reddy,Male,41,user45@company.com,8981141831,6,Director,09-10-2021,Part-time,2.93
1047,Sneha,Mehta,Female,50,user46@company.com,9029503628,1,Analyst,07-09-2015,Part-time,1.58
1048,Kavya,Verma,Male,48,user47@company.com,8210432064,9,Analyst,11-05-2020,Full-time,2.86
1049,Arjun,Gupta,Male,56,user48@company.com,8463796869,4,Director,02-11-2019,Part-time,2.01
1050,Rohit,Nair,Male,46,user49@company.com,8640827078,4,Manager,19-03-2019,Part-time,1.89
1051,Kavya,Iyer,Male,54,user50@company.com,7393583101,9,Director,16-11-2016,Part-time,4.83
1052,Vikas,Mehta,Female,28,user51@company.com,9992235162,3,Manager,31-08-2022,Part-time,2.45
1053,Priya,Sharma,Male,30,user52@company.com,7482207822,5,Engineer,24-09-2017,Part-time,1.19
1054,Vikas,Singh,Female,34,user53@company.com,9315843507,1,Manager,10-02-2016,Part-time,4.88
1055,Kavya,Singh,Female,35,user54@company.com,9192645601,6,Consultant,19-10-2022,Part-time,4.18
1056,Anjali,Nair,Female,37,user55@company.com,7684171513,3,Analyst,01-09-2015,Full-time,2.02
1057,Rohit,Mehta,Male,38,user56@company.com,9623144824,1,Engineer,11-08-2021,Full-time,2.64
1058,Rohit,Nair,Male,52,user57@company.com,8598530559,10,Director,07-12-2020,Part-time,4.45
1059,Amit,Singh,Male,58,user58@company.com,9889539375,6,Manager,07-12-2022,Part-time,2.43
1060,Rohit,Iyer,Male,43,user59@company.com,8128778702,10,Engineer,25-05-2019,Contract,3.27
1061,Arjun,Verma,Female,43,user60@company.com,7194259779,2,Consultant,08-03-2016,Full-time,3.14
1062,Rohit,Mehta,Female,55,user61@company.com,8290164395,8,Manager,02-07-2015,Contract,2.61
1063,Kavya,Reddy,Male,59,user62@company.com,7008043364,2,Director,24-01-2019,Full-time,3.56
1064,Amit,Verma,Male,35,user63@company.com,8863829520,4,Director,07-09-2022,Contract,2.89
1065,Kavya,Verma,Male,44,user64@company.com,8506027230,3,Manager,15-02-2018,Contract,1.08
1066,Kavya,Verma,Male,48,user65@company.com,7356128037,9,Consultant,31-01-2015,Contract,4.26
1067,Rahul,Reddy,Male,36,user66@company.com,8037080969,2,Analyst,18-03-2018,Full-time,1.45
1068,Amit,Iyer,Male,36,user67@company.com,7438826805,3,Analyst,19-01-2022,Full-time,2.86
1069,Kavya,Sharma,Male,59,user68@company.com,7267652593,7,Director,20-07-2018,Part-time,3.32
1070,Rahul,Iyer,Female,26,user69@company.com,9019624154,4,Consultant,21-12-2022,Full-time,3.82
1071,Rahul,Iyer,Female,22,user70@company.com,7771068137,6,Director,18-03-2020,Full-time,2.64
1072,Amit,Iyer,Female,33,user71@company.com,9277275013,3,Analyst,12-04-2015,Full-time,3.94
1073,Vikas,Gupta,Female,29,user72@company.com,7534718711,1,Director,31-12-2017,Full-time,1.53
1074,Anjali,Nair,Male,54,user73@company.com,8133987717,6,Manager,25-09-2019,Part-time,3.61
1075,Arjun,Singh,Male,37,user74@company.com,9760730638,4,Manager,24-04-2022,Part-time,4.31
1076,Anjali,Nair,Male,47,user75@company.com,7602443075,2,Consultant,23-10-2022,Full-time,4.56
1077,Rohit,Mehta,Male,49,user76@company.com,9309182575,7,Analyst,21-09-2021,Contract,3.32
1078,Arjun,Iyer,Male,57,user77@company.com,8284694005,10,Consultant,22-10-2018,Contract,2.25
1079,Rohit,Sharma,Female,42,user78@company.com,9547370679,5,Consultant,09-04-2017,Full-time,1.65
1080,Kavya,Mehta,Male,44,user79@company.com,9334269446,6,Analyst,07-10-2022,Part-time,2.38
1081,Priya,Nair,Female,27,user80@company.com,7883066418,6,Engineer,09-09-2016,Contract,3.16
1082,Amit,Singh,Male,54,user81@company.com,7425444153,9,Engineer,09-02-2022,Part-time,1.79
1083,Arjun,Reddy,Female,32,user82@company.com,9337541872,2,Director,18-10-2015,Part-time,4.81
1084,Arjun,Nair,Male,43,user83@company.com,8369228532,6,Engineer,05-10-2021,Contract,4.59
1085,Kavya,Verma,Female,35,user84@company.com,7220204396,9,Manager,30-06-2015,Full-time,1.13
